Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/explore/[ds_id]/metadata_summary?threshold=0&labels=[label]&entity_type=OBJECTS&page_number=0,1,0,284.6823929999118,284.6823929999118,284.6823929999118,284.6823929999118,443.0,0.025500854842947156,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/v1/explore/[ds_id]/similarity_cluster/[cluster]/cluster_metadata?threshold=0&entity_type=IMAGES&page_number=0,1,0,215.11134200000015,215.11134200000015,215.11134200000015,215.11134200000015,37.0,0.025500854842947156,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v1/explore/[ds_id]/similarity_cluster/[cluster]/metadata_summary?threshold=0&entity_type=IMAGES&page_number=0,1,0,221.59770000007484,221.59770000007484,221.59770000007484,221.59770000007484,2469.0,0.025500854842947156,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v1/explore/[ds_id]/similarity_cluster/[cluster]/tags?threshold=0&entity_type=IMAGES&page_number=0,1,0,180.3216949997477,180.3216949997477,180.3216949997477,180.3216949997477,85702.0,0.025500854842947156,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v1/explore/[ds_id]/similarity_cluster/[cluster]?threshold=0&entity_type=IMAGES&page_number=0,1,0,237.0070609999857,237.0070609999857,237.0070609999857,237.0070609999857,85986.0,0.025500854842947156,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/v1/explore/[ds_id]/similarity_cluster/[obj_cl]/cluster_metadata?threshold=0&entity_type=OBJECTS&page_number=0,1,0,154.66449199993804,154.66449199993804,154.66449199993804,154.66449199993804,37.0,0.025500854842947156,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/explore/[ds_id]/similarity_cluster/[obj_cl]/metadata_summary?threshold=0&entity_type=OBJECTS&page_number=0,1,0,203.1633149999834,203.1633149999834,203.1633149999834,203.1633149999834,635.0,0.025500854842947156,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/v1/explore/[ds_id]/similarity_cluster/[obj_cl]/tags?threshold=0&entity_type=OBJECTS&page_number=0,1,0,206.35279799989803,206.35279799989803,206.35279799989803,206.35279799989803,87030.0,0.025500854842947156,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/v1/explore/[ds_id]/similarity_cluster/[obj_cl]?threshold=0&entity_type=OBJECTS&page_number=0,1,0,186.64542899978187,186.64542899978187,186.64542899978187,186.64542899978187,87099.0,0.025500854842947156,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v1/explore/[ds_id]/tags?threshold=0&entity_type=IMAGES&page_number=0,1,0,443.3113579998462,443.3113579998462,443.3113579998462,443.3113579998462,491446.0,0.025500854842947156,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/v1/explore/[ds_id]/tags?threshold=0&entity_type=OBJECTS&page_number=0,1,0,998.7594379999791,998.7594379999791,998.7594379999791,998.7594379999791,789334.0,0.025500854842947156,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/v1/explore/[ds_id]/tags?threshold=0&issues=[issue]&entity_type=IMAGES&page_number=0,1,0,614.4367590000002,614.4367590000002,614.4367590000002,614.4367590000002,166389.0,0.025500854842947156,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/api/v1/explore/[ds_id]/tags?threshold=0&labels=[label]&entity_type=OBJECTS&page_number=0,1,0,887.8266530000474,887.8266530000474,887.8266530000474,887.8266530000474,637181.0,0.025500854842947156,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/api/v1/explore/[ds_id]?threshold=0&entity_type=IMAGES&page_number=0,1,0,394.74264399996173,394.74264399996173,394.74264399996173,394.74264399996173,491446.0,0.025500854842947156,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/api/v1/explore/[ds_id]?threshold=0&entity_type=OBJECTS&page_number=0,1,0,960.0869179998881,960.0869179998881,960.0869179998881,960.0869179998881,789334.0,0.025500854842947156,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/api/v1/explore/[ds_id]?threshold=0&issues=[issue]&entity_type=IMAGES&page_number=0,1,0,541.2333059998673,541.2333059998673,541.2333059998673,541.2333059998673,166389.0,0.025500854842947156,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/api/v1/explore/[ds_id]?threshold=0&labels=[label]&entity_type=OBJECTS&page_number=0,1,0,812.8323249998175,812.8323249998175,812.8323249998175,812.8323249998175,637181.0,0.025500854842947156,0.0,810,810,810,810,810,810,810,810,810,810,810
GET,/api/v1/healthcheck,1,0,581.1636199996428,581.1636199996428,581.1636199996428,581.1636199996428,50.0,0.025500854842947156,0.0,580,580,580,580,580,580,580,580,580,580,580
GET,/api/v1/usage_report,1,0,205.77612699980818,205.77612699980818,205.77612699980818,205.77612699980818,142.0,0.025500854842947156,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/v1/user,1,0,230.19681599998876,230.19681599998876,230.19681599998876,230.19681599998876,146.0,0.025500854842947156,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v1/user_config,1,0,205.21159100007935,205.21159100007935,205.21159100007935,205.21159100007935,2386.0,0.025500854842947156,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/v1/user_config?dataset_id=[ds_id],1,0,636.9782970000415,636.9782970000415,636.9782970000415,636.9782970000415,4047.0,0.025500854842947156,0.0,640,640,640,640,640,640,640,640,640,640,640
GET,/api/v1/version,1,0,203.77808600005665,203.77808600005665,203.77808600005665,203.77808600005665,20.0,0.025500854842947156,0.0,200,200,200,200,200,200,200,200,200,200,200
,Aggregated,53,0,210.0,324.94636022638247,141.07932700017045,1370.0696129999415,106422.2075471698,1.3515453066761993,0.0,210,240,320,440,700,960,1000,1400,1400,1400,1400
